708500	LOCATION MATERIEL DE TRANSPORT	 11 513 104,04 	 2 092 264 370,51 		 2 080 751 266,47 
708600	COMMISSIONS -HONORAIRES TRANSIT	 51 255 566,29 	 7 115 473 617,91 		 7 064 218 051,62 
708700	PRESTATIONS ADMINISTRATIVES	 1 576 000,00 	 325 905 469,03 		 324 329 469,03 
708710	PRESTATIONS DIVERSES DE TRANSIT	 509 494 870,92 	 4 808 494 996,55 		 4 299 000 125,63 
708720	PRODUIT/OPø CONSIGNATAIRE		 883 479 940,15 		 883 479 940,15 
70	VENTES -PRESTATIONS DE SERVICE	 573 839 541,25 	 17 677 913 082,43 		 17 104 073 541,18 
758000	AUTRES PRODUITS D'EXPLOITATIONS		 496 629 629,98 		 496 629 629,98 
75	AUTRES PRODUITS D'EXPLOITATIONS		 496 629 629,98 		 496 629 629,98 
762200	INT CRED/CPTE COURANTS BANCAIRES		 671 282,81 		 671 282,81 
766100	DIFFERENCE DE CHANGE-PROFIT		 353 474 232,36 		 353 474 232,36 
768100	AUTRES PRODUITS FINACIERS	 150 000,00 		 150 000,00 	
76	PRODUITS FINANCIERS	 150 000,00 	 354 145 515,17 	 150 000,00 	 354 145 515,17 
771800	AUTRES PRODUITS EXCEPTIONNELS		 219 295,45 		 219 295,45 
77	PRODUITS EXCEPTIONNELS		 219 295,45 		 219 295,45 
